lado_rebatimento, lado_arremesso, peso_jogador, altura_jogador, pais_origem
Direito, Direito, 76.73, 177.8, USA
Direito, Direito, 68.1, 167.64, USA
, , 63.56, 167.64, USA
, , , , USA
Direito, , 68.1, 170.18, USA
, , , , USA
, , 73.55, 172.72, USA
, , , , USA
, , 70.37, 165.1, USA
, Esquerdo, 72.64, 170.18, USA
, , , , USA
, , , , USA
, , , , USA
Direito, Direito, 78.54, 175.26, USA
, , 81.72, 170.18, USA
, , 113.5, , USA
Direito, Direito, 54.48, 175.26, USA
Direito, Direito, 84.44, 185.42, USA
Direito, Direito, 77.18, 177.8, USA
, , , , USA
, , , , USA
, , , , USA
, , , , USA
, , , , USA
Direito, Direito, 83.99, 172.72, USA
, , 67.19, 165.1, USA
Direito, Direito, 88.08, 170.18, USA
, , 67.19, 170.18, USA
Direito, Esquerdo, 78.09, 175.26, USA
, , 63.56, 175.26, USA
, , , , USA
, , , 162.56, USA
, , 83.54, 172.72, USA
, , , , USA
, , 81.27, 165.1, USA
, , , , USA
Direito, Direito, 71.73, 175.26, USA
, , 78.09, 180.34, USA
Direito, Direito, 85.81, 180.34, USA
, , , 167.64, 
, , , , USA
, , , , USA
, , , , USA
, , 68.1, 177.8, USA
, , , , Germany
, , 65.83, 175.26, USA
, , 59.02, 170.18, USA
, , 80.81, 170.18, USA
Esquerdo, Esquerdo, 66.28, 177.8, Germany
Direito, Direito, 88.53, 182.88, USA
Direito, Direito, 79.0, 172.72, USA
, , , , USA
, , , , 
, , , , USA
, , , , 
Direito, Esquerdo, 65.83, 167.64, USA
, , , 182.88, United Kingdom
, , , , 
, , , , USA
, , , , USA
, , 76.73, 177.8, Germany
, , 62.2, 175.26, USA
, , , , 
, , , , 
Direito, Direito, 72.64, 182.88, USA
, , , , USA
Direito, Direito, 82.63, 177.8, USA
, , , , United Kingdom
, , , , USA
, , , , USA
, , , , 
, , , , USA
, , , , USA
, , , , USA
, , , , USA
, , , , USA
, , 59.93, 167.64, USA
, , , , USA
Direito, Direito, 65.83, 170.18, USA
, , , , 
, , 72.64, 167.64, USA
Direito, Direito, 79.45, 180.34, USA
Direito, Direito, 71.73, 172.72, USA
, , , , 
, , , , USA
, , , , USA
, , , , Ireland
Direito, Esquerdo, , , USA
, , , , Ireland
, , , , USA
, , , , USA
, , , , USA
, , , , USA
, , 77.18, 180.34, USA
, , 61.29, 175.26, USA
Direito, Direito, 83.54, 180.34, USA
, , , , USA
, , 74.91, 167.64, USA
, , , , USA
Direito, Direito, 65.38, 177.8, USA
Direito, Direito, 77.18, 182.88, USA
, , 68.1, 170.18, USA
, , , , USA
Direito, Direito, 72.64, 182.88, USA
, , , , USA
, , , , USA
Direito, , 77.18, 180.34, USA
Direito, Direito, 72.64, 170.18, Ireland
Direito, , 71.28, 170.18, USA
Direito, Direito, 69.46, 175.26, United Kingdom
, , 67.19, 170.18, USA
, , , , USA
Direito, Direito, 81.72, 170.18, USA
Direito, Esquerdo, 74.91, 175.26, USA
, , , , USA
, , , , 
, , , , USA
, , 74.91, 175.26, USA
, , , , 
, , , , USA
, , , , USA
, , , , USA
, , , , USA
, , , , 
, , , , USA
, , , , USA
, , , , 
, , , , 
, , , , USA
, , 63.56, 172.72, USA
, , , , USA
Direito, , 72.64, 167.64, USA
, , , , USA
, , 61.74, 167.64, USA
, , 81.72, , USA
, , 79.45, 180.34, USA
Direito, Direito, 79.45, 170.18, USA
Direito, Direito, 74.46, 172.72, USA
Direito, Direito, 66.28, 170.18, USA
, , , , USA
Direito, Direito, 68.1, 170.18, USA
Direito, Direito, 71.73, 170.18, USA
, , 70.37, 170.18, USA
, , , , USA
, , 70.37, 175.26, USA
Direito, , 77.18, 175.26, USA
, , 81.72, 180.34, United Kingdom
Esquerdo, Direito, 76.27, 172.72, USA
Direito, Direito, 72.19, 170.18, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Direito, 79.45, , USA
, , 61.29, 165.1, Portugal
Direito, Direito, 87.17, 182.88, USA
, , , , France
, , , , USA
, , , , USA
, , 65.83, 170.18, USA
, , , , 
, , , , USA
Direito, Direito, 74.46, 175.26, USA
Esquerdo, Esquerdo, , , USA
Direito, Direito, 72.64, 177.8, USA
Direito, Direito, 91.71, 180.34, USA
, Direito, 68.1, 170.18, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 65.83, 170.18, USA
Direito, Direito, , , USA
Direito, Direito, 75.36, 170.18, USA
, , , , USA
Direito, , , , USA
, , , , USA
Direito, Direito, 81.72, 182.88, USA
, , , , USA
, , 77.18, 175.26, USA
Direito, Direito, 68.55, 170.18, USA
, , 84.9, 182.88, USA
, , , , USA
, , 73.55, 177.8, USA
Esquerdo, Esquerdo, 73.55, , USA
, , , , USA
Direito, Direito, 84.44, 177.8, USA
, , 65.83, 170.18, USA
Direito, Direito, 82.63, 175.26, USA
, , , , USA
Direito, Direito, 86.26, 172.72, USA
, , 70.37, 172.72, USA
Direito, , 74.91, 180.34, USA
, , , , USA
, , , 180.34, USA
, , , , 
, , 79.45, 177.8, USA
, , , , USA
Direito, , , , 
, , , , USA
Direito, Direito, 74.91, 180.34, USA
Direito, , 65.83, 167.64, USA
, , 81.72, 175.26, USA
, , , , USA
Direito, Direito, 63.56, 175.26, USA
, , , , USA
Direito, Direito, 68.1, 175.26, USA
, , , , USA
Direito, Direito, 74.91, 180.34, USA
, , , , USA
, , , , 
, , 73.55, 172.72, 
, , , , 
, Direito, 64.01, 172.72, CAN
, , , , 
Esquerdo, Esquerdo, 75.36, 177.8, USA
Direito, Direito, 59.02, 167.64, USA
, , , , USA
, , , , USA
, , , , 
, , , , USA
, , , , 
Direito, Direito, 88.53, 185.42, USA
Direito, Direito, 79.45, 177.8, USA
, , , , USA
Direito, Direito, 70.37, 177.8, USA
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 64.47, 170.18, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, , 172.72, USA
, , , , USA
, , 68.1, 177.8, Ireland
Direito, Direito, 69.01, 170.18, USA
, , , , 
Direito, Direito, , , USA
Direito, Direito, 83.99, 177.8, USA
Direito, Direito, 72.64, 175.26, USA
Direito, Direito, 83.99, 187.96, USA
, , 63.56, 170.18, USA
, , , , USA
, , , , USA
, , , , USA
Direito, Direito, 79.45, 175.26, USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 89.44, , USA
Direito, Direito, , , 
, , 77.18, 170.18, USA
Esquerdo, Esquerdo, , , USA
, , 79.45, 172.72, Ireland
Direito, , 72.64, 177.8, USA
, , , , USA
, , , , USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 81.72, 175.26, USA
Direito, Direito, 81.72, 175.26, USA
Direito, Esquerdo, 79.45, 177.8, USA
, , , , USA
Direito, , , , USA
, , , , USA
Direito, , 79.45, 175.26, USA
, , , , USA
Esquerdo, Esquerdo, 78.54, 172.72, USA
, Direito, 76.27, , USA
, , 77.18, 175.26, USA
, , , , USA
, , , , USA
Esquerdo, Esquerdo, 61.29, 165.1, USA
Direito, Direito, 72.64, 165.1, USA
Direito, Direito, 74.46, 182.88, USA
Direito, , 72.64, 175.26, USA
Direito, Direito, 77.18, , USA
Direito, Esquerdo, 79.45, 177.8, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Direito, 95.34, 180.34, USA
Direito, Direito, 76.27, 180.34, USA
Direito, Direito, 72.64, 170.18, USA
Direito, Direito, , 187.96, USA
Direito, Direito, 77.18, 177.8, USA
Direito, Direito, , , USA
Direito, Esquerdo, 77.63, 172.72, CAN
, , , 185.42, USA
Esquerdo, , 70.82, 165.1, USA
Direito, Direito, 97.61, 177.8, United Kingdom
Direito, , 70.37, 139.7, USA
Direito, Direito, 74.91, 180.34, USA
, , , , USA
Direito, Esquerdo, 63.56, 167.64, USA
Direito, Esquerdo, 74.91, 175.26, USA
Direito, Direito, 83.99, 180.34, USA
, , , , Ireland
, , , , USA
Direito, Direito, 75.36, 170.18, USA
Direito, , 79.45, 172.72, USA
, , , , USA
Direito, Direito, 70.37, 177.8, USA
Direito, Direito, 91.71, 182.88, CAN
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 74.91, 177.8, USA
Direito, Direito, 83.99, 175.26, USA
Direito, Direito, 74.91, 175.26, USA
Direito, Esquerdo, 88.53, 180.34, USA
Direito, Direito, 78.09, 170.18, USA
Direito, Direito, 77.18, 175.26, USA
Direito, Direito, 70.37, 175.26, USA
Esquerdo, Direito, 84.44, 180.34, USA
Direito, Direito, 72.64, , USA
Direito, Direito, 74.91, 175.26, USA
Direito, Direito, 72.64, 172.72, USA
Direito, , 69.92, 172.72, USA
Direito, Direito, 74.46, 172.72, USA
Esquerdo, Esquerdo, 86.26, 182.88, USA
, , 83.99, 182.88, USA
Direito, Direito, 86.26, 182.88, USA
, Esquerdo, 79.45, 180.34, USA
Direito, Esquerdo, 75.36, 172.72, USA
Direito, Direito, 68.55, 170.18, USA
Direito, Direito, 61.29, 172.72, USA
Direito, Esquerdo, 72.64, 172.72, USA
Direito, Direito, 70.37, 175.26, USA
Esquerdo, Esquerdo, 63.56, 170.18, USA
Esquerdo, Direito, 70.37, 167.64, USA
, , , , USA
, , 76.27, 185.42, USA
Esquerdo, , 72.64, 177.8, Ireland
, , , , USA
Direito, Direito, 74.91, 180.34, USA
, , , , Ireland
Direito, Direito, 83.99, 182.88, USA
Direito, Direito, 79.45, 167.64, USA
, , , , USA
Direito, , , , USA
Esquerdo, Esquerdo, 93.98, 187.96, USA
Direito, Direito, , , USA
Direito, Direito, 70.37, 167.64, USA
Direito, Direito, 68.1, 172.72, United Kingdom
, , 77.18, 170.18, 
Direito, Direito, 93.52, 180.34, USA
Direito, Direito, 86.26, 182.88, USA
Direito, Direito, 74.91, , USA
Direito, , 77.18, 175.26, USA
, Esquerdo, 73.55, 172.72, USA
, Esquerdo, 74.91, 177.8, USA
Direito, Esquerdo, 77.18, 172.72, USA
Direito, Direito, 70.37, 175.26, USA
, , , , Czech Republic
Esquerdo, , 70.37, 177.8, USA
Direito, Direito, 83.99, 180.34, USA
Direito, Direito, 70.37, 172.72, USA
Direito, Esquerdo, 71.73, 172.72, CAN
Direito, Direito, 75.82, 180.34, USA
Direito, Direito, 74.91, 172.72, USA
Direito, Esquerdo, 79.45, 177.8, CAN
Direito, Direito, 79.45, 180.34, USA
Direito, , 57.66, 160.02, USA
Direito, Direito, 72.64, 172.72, USA
Direito, Esquerdo, 77.18, 175.26, USA
Direito, Esquerdo, 80.81, 185.42, USA
Direito, Direito, 77.18, 180.34, CAN
Esquerdo, , 99.88, 190.5, USA
Direito, Direito, 86.26, 182.88, USA
Direito, Direito, 69.01, 170.18, USA
Direito, Direito, 76.27, 175.26, USA
Direito, Esquerdo, 61.29, 170.18, USA
Direito, Direito, 80.81, 190.5, USA
Direito, , 81.72, 182.88, USA
Esquerdo, Esquerdo, 86.26, 175.26, USA
, , , , USA
Direito, , 86.26, 172.72, USA
, , , , USA
Direito, , , , 
Direito, Direito, 72.64, 177.8, USA
Esquerdo, Esquerdo, 72.64, 177.8, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Esquerdo, 74.91, , USA
Direito, Direito, 74.91, 180.34, USA
Direito, Direito, 83.99, 180.34, USA
, Esquerdo, , , USA
Direito, Direito, 83.99, 177.8, USA
Direito, Esquerdo, 83.99, 185.42, USA
Direito, Esquerdo, 74.91, 175.26, USA
Esquerdo, , 84.44, 180.34, USA
Direito, Direito, 74.91, 170.18, USA
Direito, Direito, 72.64, 170.18, USA
Direito, Direito, 85.35, 177.8, USA
, , , , USA
Direito, Esquerdo, 79.45, 182.88, USA
Direito, Direito, 83.99, 172.72, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Esquerdo, 78.09, 187.96, USA
, , , , USA
Direito, Direito, 65.83, 162.56, United Kingdom
Direito, Direito, 79.45, 170.18, Ireland
Direito, , , 167.64, USA
Direito, Direito, 69.92, 172.72, USA
Direito, Direito, 92.62, 180.34, USA
, , , , USA
, , , , USA
Esquerdo, Esquerdo, 77.18, 182.88, USA
Direito, , 88.08, 177.8, USA
Direito, Esquerdo, 77.18, 177.8, USA
Direito, Esquerdo, 89.89, 180.34, USA
Esquerdo, Esquerdo, , , USA
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 69.92, 165.1, USA
, , 74.91, 177.8, Ireland
, , , , USA
, , 70.37, 167.64, USA
Direito, Esquerdo, 80.81, 177.8, USA
Direito, Direito, 83.54, 177.8, USA
Direito, Direito, 81.72, 187.96, Ireland
Direito, Direito, 75.82, 170.18, USA
, Direito, 72.64, 167.64, USA
, , 95.34, 180.34, USA
, , 74.91, 172.72, Ireland
Direito, Direito, 77.18, 177.8, United Kingdom
Direito, Direito, 69.01, 172.72, USA
Direito, Direito, 77.18, 172.72, USA
, , , , USA
, , 64.47, 170.18, USA
, Direito, 81.72, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
Esquerdo, Esquerdo, 71.73, 180.34, USA
Direito, Direito, 68.1, 175.26, USA
Direito, Direito, 86.26, 175.26, USA
Direito, Direito, 62.65, 160.02, USA
Direito, , 88.08, 180.34, USA
, Direito, 78.09, 180.34, USA
Esquerdo, Esquerdo, 85.35, , USA
, , , , USA
Direito, Esquerdo, 79.9, 180.34, USA
Direito, Direito, 86.26, 182.88, USA
, , , , USA
Direito, Direito, 83.54, 177.8, USA
Direito, , 79.45, 172.72, USA
Direito, Direito, 70.37, 177.8, USA
, , 76.27, 167.64, USA
, , 86.26, 180.34, USA
, , , , USA
, , 89.44, 177.8, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
, Direito, 70.82, 167.64, USA
Direito, Direito, 77.18, 177.8, USA
Direito, Direito, , , USA
, , 79.9, 180.34, USA
, , 70.37, 167.64, USA
, , 86.26, 185.42, USA
, Esquerdo, 76.27, 177.8, USA
Direito, Direito, 74.91, 182.88, USA
Direito, Direito, 82.17, 177.8, USA
Esquerdo, , , , USA
, Direito, 74.91, , USA
, , , , USA
, , , , USA
Direito, Direito, 81.72, 185.42, USA
, , , , USA
, , , , USA
Direito, , , , USA
, , , , USA
, , , 177.8, USA
Direito, Direito, 79.45, 177.8, USA
Esquerdo, , 61.29, 175.26, USA
, , 77.63, 170.18, USA
Direito, Esquerdo, 76.27, 177.8, CAN
, , , , USA
Direito, Direito, 83.99, 185.42, USA
Direito, Direito, 83.99, 177.8, USA
, , , , United Kingdom
, , , , USA
Direito, Direito, 74.91, 175.26, USA
Direito, , 72.64, 180.34, USA
, , , , USA
Esquerdo, Esquerdo, 68.1, 162.56, USA
, Direito, 69.46, 170.18, USA
Direito, Esquerdo, 76.27, 177.8, United Kingdom
, , 81.72, 180.34, USA
, Esquerdo, , 175.26, USA
, Direito, 86.26, 180.34, CAN
Direito, Direito, 73.09, 177.8, USA
, , 74.46, 177.8, USA
, , , , USA
, , , , USA
Direito, , 72.64, 177.8, CAN
Direito, , 74.0, 172.72, USA
Direito, Direito, 69.46, 175.26, USA
Direito, Direito, 72.64, 175.26, Ireland
Direito, Direito, 70.37, 180.34, USA
, , , , USA
Direito, , 80.81, , USA
, Direito, 69.92, 170.18, USA
, , , , USA
Direito, Direito, 77.18, 167.64, USA
Direito, Direito, 72.64, 172.72, CAN
, , 74.91, 177.8, USA
Esquerdo, Esquerdo, 75.36, 172.72, USA
Esquerdo, , 81.72, 170.18, USA
, , , , USA
, , , , USA
, , 74.0, 175.26, USA
, , , , USA
, Direito, 72.64, 175.26, USA
Direito, Direito, 83.99, 172.72, Germany
Direito, Esquerdo, 77.18, 182.88, CAN
, , 68.1, 167.64, USA
, Direito, 79.45, 180.34, USA
, , 80.81, 180.34, USA
Direito, Esquerdo, 77.18, 175.26, USA
Direito, Esquerdo, 81.72, 177.8, USA
Esquerdo, Direito, 79.9, 177.8, Ireland
Direito, Direito, 67.19, 167.64, USA
Esquerdo, Esquerdo, 69.01, 172.72, USA
Direito, , 83.99, 177.8, USA
Esquerdo, , , , USA
Direito, Direito, 81.72, 177.8, USA
Direito, Direito, 72.64, 167.64, USA
Direito, Direito, 88.08, 177.8, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 88.53, 185.42, USA
, , , , USA
Esquerdo, Esquerdo, 63.56, 170.18, USA
, , , , USA
, , , , 
Direito, Direito, 75.82, 185.42, CAN
, , , , USA
Esquerdo, , 79.45, , USA
, , , , Ireland
Esquerdo, , 72.64, , USA
Direito, Direito, 77.18, 172.72, USA
Direito, Direito, , , USA
, , , , USA
Direito, Direito, 113.5, 180.34, USA
, Direito, , , USA
Direito, Direito, 86.26, 175.26, USA
, , , , USA
Direito, Esquerdo, 72.64, 177.8, USA
, , 73.55, 180.34, USA
Direito, Direito, 72.64, 177.8, USA
, , 72.64, , USA
Direito, Direito, 80.81, 180.34, USA
, , , , USA
Direito, Direito, 72.64, 180.34, USA
Direito, , 77.18, 182.88, USA
, , 77.18, 185.42, USA
, , , , USA
Direito, , 88.98, 175.26, USA
Direito, Direito, , , USA
Esquerdo, Esquerdo, 74.91, 172.72, USA
Direito, Direito, 76.27, 185.42, USA
Direito, , 90.8, 182.88, USA
, , 70.37, 172.72, USA
Direito, Direito, 87.17, 185.42, USA
Direito, , 83.99, 177.8, Ireland
Esquerdo, , 79.45, 170.18, USA
Direito, , , , USA
Direito, , , , USA
Direito, Direito, 77.18, 172.72, USA
, , 77.18, 180.34, USA
Esquerdo, Direito, 80.36, 182.88, USA
, , 68.1, 177.8, USA
, , , , USA
Esquerdo, Esquerdo, 83.99, 182.88, CAN
Direito, , , , USA
Direito, Direito, , , USA
Direito, Direito, 68.1, 172.72, USA
Esquerdo, Esquerdo, , , USA
Direito, Direito, 81.72, 180.34, CAN
, , 70.37, 172.72, USA
, , , , USA
, , , , USA
Direito, Direito, 79.45, 180.34, USA
Direito, Esquerdo, 68.1, 175.26, USA
, , 74.46, 175.26, USA
Esquerdo, Esquerdo, 72.64, 172.72, USA
Direito, Direito, , , USA
, , , , USA
Direito, , 77.18, 182.88, USA
, , 81.72, 180.34, USA
, , , , USA
, , 76.73, 172.72, CAN
, , 81.72, 170.18, USA
Direito, Esquerdo, 68.1, 167.64, CAN
Direito, Direito, 81.72, 185.42, USA
Direito, Direito, 67.19, 177.8, USA
, , , , USA
, Direito, 81.72, 180.34, USA
, Direito, , , USA
Direito, Direito, 92.62, 177.8, USA
, , , , USA
Direito, Esquerdo, 65.83, 170.18, USA
, , 83.54, 185.42, USA
Direito, Direito, , , USA
Direito, Direito, 61.29, 172.72, USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 79.0, 172.72, USA
, , , , USA
, , , , 
, Esquerdo, 77.18, 180.34, CAN
, , , , USA
, Direito, 77.18, 177.8, CAN
, , 74.91, 180.34, USA
Direito, Direito, 74.91, 180.34, USA
, , 73.09, 170.18, USA
Esquerdo, Esquerdo, 95.34, 187.96, USA
, , 72.64, 177.8, USA
, , , , USA
Direito, Direito, 80.81, 185.42, USA
, , , , 
, , , , USA
Direito, Direito, 65.83, 180.34, USA
, , , , CAN
, , , , USA
Direito, Direito, 74.91, 167.64, USA
, , 72.64, 172.72, USA
, , 77.18, 175.26, USA
, , , , USA
, , , , USA
Direito, , 84.9, 180.34, USA
Direito, Direito, 81.72, 172.72, USA
Direito, Direito, 68.1, 170.18, USA
, , 70.37, , USA
Direito, Direito, 101.24, 187.96, USA
Direito, , 69.92, 172.72, CAN
, Direito, 65.38, 172.72, USA
, , 72.64, 172.72, USA
Esquerdo, Esquerdo, 92.62, 172.72, USA
, , , , 
, , 72.64, 180.34, USA
, , , , 
, , , , USA
Direito, Direito, 99.88, 187.96, USA
, , , , USA
Direito, Direito, 71.73, 170.18, Australia
, , 67.19, 175.26, USA
, , , , USA
Direito, Direito, 79.45, 180.34, USA
Direito, Direito, 76.27, 180.34, USA
Direito, Direito, 74.91, 180.34, USA
, Direito, 77.18, 180.34, USA
, Direito, 68.1, 170.18, USA
Direito, , 74.91, 182.88, USA
Direito, , 74.91, 180.34, CAN
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 72.64, 172.72, USA
Esquerdo, , 74.91, 170.18, USA
Direito, Direito, 72.19, , USA
Direito, Direito, 76.27, 172.72, USA
, Direito, 78.09, 177.8, USA
Direito, Direito, 83.99, 180.34, USA
Direito, Direito, 65.83, 167.64, USA
Direito, Direito, 81.72, 167.64, USA
Direito, Direito, 79.45, 177.8, USA
, Esquerdo, 79.45, , USA
, , , , USA
, , , , USA
Direito, Direito, 81.72, 177.8, USA
Direito, Direito, 72.64, 170.18, USA
, Direito, 74.91, 175.26, USA
, , 74.46, 177.8, USA
Direito, Direito, 71.73, 172.72, USA
Direito, Direito, 80.36, 177.8, USA
Esquerdo, Esquerdo, 66.74, 170.18, USA
Direito, Direito, 87.17, 182.88, USA
Direito, Direito, 79.45, 172.72, USA
, Esquerdo, 72.64, 172.72, USA
, , 76.27, 177.8, USA
, Direito, 74.46, 167.64, USA
, , 72.64, 172.72, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Direito, 74.91, 177.8, USA
Esquerdo, , , 182.88, USA
, Esquerdo, 89.89, 180.34, USA
, Direito, 72.64, 170.18, CAN
, , 77.18, 170.18, USA
Direito, , 64.01, 175.26, USA
Direito, Direito, 77.18, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
, Direito, 72.64, 175.26, CAN
Direito, Direito, 93.07, 185.42, USA
Direito, , 74.46, 175.26, United Kingdom
Direito, Direito, 68.1, 170.18, United Kingdom
, , 81.72, , USA
, , 78.54, 172.72, USA
, , , , USA
, , , , USA
, , , , USA
Direito, Direito, 70.82, 170.18, USA
, , 80.81, 170.18, USA
Direito, Direito, , , USA
Direito, Esquerdo, 70.37, 170.18, USA
Direito, , 68.1, 167.64, USA
, , 81.27, 182.88, USA
Direito, , 73.55, 177.8, USA
Direito, Direito, 90.8, 187.96, USA
, , 79.45, 172.72, USA
, Direito, , , CAN
, , , , USA
, , 86.26, 182.88, USA
, , , , USA
, , , , USA
Direito, Direito, 81.72, 185.42, USA
, , , , 
, Direito, 68.1, 165.1, CAN
, , , , United Kingdom
, , , , 
, , , , USA
Direito, Direito, 72.64, 182.88, USA
Direito, Esquerdo, 81.72, 182.88, USA
Direito, , 71.28, 170.18, USA
Direito, Direito, 79.45, 182.88, USA
, , 72.64, 180.34, USA
Direito, , , 180.34, USA
Esquerdo, Esquerdo, 83.99, 180.34, CAN
Direito, Direito, 72.64, 170.18, USA
Direito, Direito, 77.18, 180.34, USA
Direito, , 72.64, 177.8, 
, , 63.56, 167.64, USA
, , 83.99, 177.8, USA
Direito, Direito, 74.91, 172.72, USA
, , 80.81, 180.34, USA
, Direito, 81.72, 180.34, USA
Direito, Direito, 77.18, 190.5, USA
, , , , USA
, , , , USA
, , 77.18, 177.8, USA
, Direito, 74.91, 177.8, USA
Direito, Direito, 72.64, 177.8, USA
, , , , USA
, Esquerdo, 74.91, 177.8, USA
Direito, Direito, 90.8, 172.72, USA
, Esquerdo, 83.99, 180.34, USA
Esquerdo, Esquerdo, 71.28, , USA
Direito, Direito, 77.18, 177.8, USA
, Direito, 75.82, 175.26, CAN
Direito, Direito, 74.91, 175.26, USA
, , 63.56, 170.18, USA
Direito, Direito, 76.27, 170.18, USA
, , , , USA
, Direito, 72.64, 175.26, CAN
, , 86.26, 177.8, USA
, , , , 
, , , , USA
Direito, Esquerdo, 64.92, 172.72, USA
, , , , USA
, , , , USA
Direito, Direito, 74.0, 162.56, USA
, Direito, 72.64, 172.72, USA
, , , , USA
Direito, , 77.18, 170.18, USA
Direito, Direito, 79.45, 175.26, USA
Esquerdo, Esquerdo, , , USA
, , , , USA
, , , , USA
, , 63.56, , USA
Direito, Esquerdo, 77.18, 182.88, USA
, , , , USA
, , , , USA
Direito, Direito, 72.64, 167.64, USA
