lado_rebatimento, lado_arremesso, peso_jogador, altura_jogador, pais_origem
None, None, None, None, None
None, Direito, 64.01, 172.72, CAN
None, None, None, None, None
Esquerdo, Esquerdo, 75.36, 177.8, USA
Direito, Direito, 59.02, 167.64, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, None
None, None, None, None, USA
None, None, None, None, None
Direito, Direito, 88.53, 185.42, USA
Direito, Direito, 79.45, 177.8, USA
None, None, None, None, USA
Direito, Direito, 70.37, 177.8, USA
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 64.47, 170.18, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, None, 172.72, USA
None, None, None, None, USA
None, None, 68.1, 177.8, Ireland
Direito, Direito, 69.01, 170.18, USA
None, None, None, None, None
Direito, Direito, None, None, USA
Direito, Direito, 83.99, 177.8, USA
Direito, Direito, 72.64, 175.26, USA
Direito, Direito, 83.99, 187.96, USA
None, None, 63.56, 170.18, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 79.45, 175.26, USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 89.44, None, USA
Direito, Direito, None, None, None
None, None, 77.18, 170.18, USA
Esquerdo, Esquerdo, None, None, USA
None, None, 79.45, 172.72, Ireland
Direito, None, 72.64, 177.8, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 81.72, 175.26, USA
Direito, Direito, 81.72, 175.26, USA
Direito, Esquerdo, 79.45, 177.8, USA
None, None, None, None, USA
Direito, None, None, None, USA
None, None, None, None, USA
Direito, None, 79.45, 175.26, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 78.54, 172.72, USA
None, Direito, 76.27, None, USA
None, None, 77.18, 175.26, USA
None, None, None, None, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 61.29, 165.1, USA
Direito, Direito, 72.64, 165.1, USA
Direito, Direito, 74.46, 182.88, USA
Direito, None, 72.64, 175.26, USA
Direito, Direito, 77.18, None, USA
Direito, Esquerdo, 79.45, 177.8, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Direito, 95.34, 180.34, USA
Direito, Direito, 76.27, 180.34, USA
Direito, Direito, 72.64, 170.18, USA
Direito, Direito, None, 187.96, USA
Direito, Direito, 77.18, 177.8, USA
Direito, Direito, None, None, USA
Direito, Esquerdo, 77.63, 172.72, CAN
None, None, None, 185.42, USA
Esquerdo, None, 70.82, 165.1, USA
Direito, Direito, 97.61, 177.8, United Kingdom
Direito, None, 70.37, 139.7, USA
Direito, Direito, 74.91, 180.34, USA
None, None, None, None, USA
Direito, Esquerdo, 63.56, 167.64, USA
Direito, Esquerdo, 74.91, 175.26, USA
Direito, Direito, 83.99, 180.34, USA
None, None, None, None, Ireland
None, None, None, None, USA
Direito, Direito, 75.36, 170.18, USA
Direito, None, 79.45, 172.72, USA
None, None, None, None, USA
Direito, Direito, 70.37, 177.8, USA
Direito, Direito, 91.71, 182.88, CAN
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 74.91, 177.8, USA
Direito, Direito, 83.99, 175.26, USA
Direito, Direito, 74.91, 175.26, USA
Direito, Esquerdo, 88.53, 180.34, USA
Direito, Direito, 78.09, 170.18, USA
Direito, Direito, 77.18, 175.26, USA
Direito, Direito, 70.37, 175.26, USA
Esquerdo, Direito, 84.44, 180.34, USA
Direito, Direito, 72.64, None, USA
Direito, Direito, 74.91, 175.26, USA
Direito, Direito, 72.64, 172.72, USA
Direito, None, 69.92, 172.72, USA
Direito, Direito, 74.46, 172.72, USA
Esquerdo, Esquerdo, 86.26, 182.88, USA
None, None, 83.99, 182.88, USA
Direito, Direito, 86.26, 182.88, USA
None, Esquerdo, 79.45, 180.34, USA
Direito, Esquerdo, 75.36, 172.72, USA
Direito, Direito, 68.55, 170.18, USA
Direito, Direito, 61.29, 172.72, USA
Direito, Esquerdo, 72.64, 172.72, USA
Direito, Direito, 70.37, 175.26, USA
Esquerdo, Esquerdo, 63.56, 170.18, USA
Esquerdo, Direito, 70.37, 167.64, USA
None, None, None, None, USA
None, None, 76.27, 185.42, USA
Esquerdo, None, 72.64, 177.8, Ireland
None, None, None, None, USA
Direito, Direito, 74.91, 180.34, USA
None, None, None, None, Ireland
Direito, Direito, 83.99, 182.88, USA
Direito, Direito, 79.45, 167.64, USA
None, None, None, None, USA
Direito, None, None, None, USA
Esquerdo, Esquerdo, 93.98, 187.96, USA
Direito, Direito, None, None, USA
Direito, Direito, 70.37, 167.64, USA
Direito, Direito, 68.1, 172.72, United Kingdom
None, None, 77.18, 170.18, None
Direito, Direito, 93.52, 180.34, USA
Direito, Direito, 86.26, 182.88, USA
Direito, Direito, 74.91, None, USA
Direito, None, 77.18, 175.26, USA
None, Esquerdo, 73.55, 172.72, USA
None, Esquerdo, 74.91, 177.8, USA
Direito, Esquerdo, 77.18, 172.72, USA
Direito, Direito, 70.37, 175.26, USA
None, None, None, None, Czech Republic
Esquerdo, None, 70.37, 177.8, USA
Direito, Direito, 83.99, 180.34, USA
Direito, Direito, 70.37, 172.72, USA
Direito, Esquerdo, 71.73, 172.72, CAN
Direito, Direito, 75.82, 180.34, USA
Direito, Direito, 74.91, 172.72, USA
Direito, Esquerdo, 79.45, 177.8, CAN
Direito, Direito, 79.45, 180.34, USA
Direito, None, 57.66, 160.02, USA
Direito, Direito, 72.64, 172.72, USA
Direito, Esquerdo, 77.18, 175.26, USA
Direito, Esquerdo, 80.81, 185.42, USA
Direito, Direito, 77.18, 180.34, CAN
Esquerdo, None, 99.88, 190.5, USA
Direito, Direito, 86.26, 182.88, USA
Direito, Direito, 69.01, 170.18, USA
Direito, Direito, 76.27, 175.26, USA
Direito, Esquerdo, 61.29, 170.18, USA
Direito, Direito, 80.81, 190.5, USA
Direito, None, 81.72, 182.88, USA
Esquerdo, Esquerdo, 86.26, 175.26, USA
None, None, None, None, USA
Direito, None, 86.26, 172.72, USA
None, None, None, None, USA
Direito, None, None, None, None
Direito, Direito, 72.64, 177.8, USA
Esquerdo, Esquerdo, 72.64, 177.8, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Esquerdo, 74.91, None, USA
Direito, Direito, 74.91, 180.34, USA
Direito, Direito, 83.99, 180.34, USA
None, Esquerdo, None, None, USA
Direito, Direito, 83.99, 177.8, USA
Direito, Esquerdo, 83.99, 185.42, USA
Direito, Esquerdo, 74.91, 175.26, USA
Esquerdo, None, 84.44, 180.34, USA
Direito, Direito, 74.91, 170.18, USA
Direito, Direito, 72.64, 170.18, USA
Direito, Direito, 85.35, 177.8, USA
None, None, None, None, USA
Direito, Esquerdo, 79.45, 182.88, USA
Direito, Direito, 83.99, 172.72, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Esquerdo, 78.09, 187.96, USA
None, None, None, None, USA
Direito, Direito, 65.83, 162.56, United Kingdom
Direito, Direito, 79.45, 170.18, Ireland
Direito, None, None, 167.64, USA
Direito, Direito, 69.92, 172.72, USA
Direito, Direito, 92.62, 180.34, USA
None, None, None, None, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 77.18, 182.88, USA
Direito, None, 88.08, 177.8, USA
Direito, Esquerdo, 77.18, 177.8, USA
Direito, Esquerdo, 89.89, 180.34, USA
Esquerdo, Esquerdo, None, None, USA
Direito, Direito, 72.19, 175.26, USA
Direito, Direito, 69.92, 165.1, USA
None, None, 74.91, 177.8, Ireland
None, None, None, None, USA
None, None, 70.37, 167.64, USA
Direito, Esquerdo, 80.81, 177.8, USA
Direito, Direito, 83.54, 177.8, USA
Direito, Direito, 81.72, 187.96, Ireland
Direito, Direito, 75.82, 170.18, USA
None, Direito, 72.64, 167.64, USA
None, None, 95.34, 180.34, USA
None, None, 74.91, 172.72, Ireland
Direito, Direito, 77.18, 177.8, United Kingdom
Direito, Direito, 69.01, 172.72, USA
Direito, Direito, 77.18, 172.72, USA
None, None, None, None, USA
None, None, 64.47, 170.18, USA
None, Direito, 81.72, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
Esquerdo, Esquerdo, 71.73, 180.34, USA
Direito, Direito, 68.1, 175.26, USA
Direito, Direito, 86.26, 175.26, USA
Direito, Direito, 62.65, 160.02, USA
Direito, None, 88.08, 180.34, USA
None, Direito, 78.09, 180.34, USA
Esquerdo, Esquerdo, 85.35, None, USA
None, None, None, None, USA
Direito, Esquerdo, 79.9, 180.34, USA
Direito, Direito, 86.26, 182.88, USA
None, None, None, None, USA
Direito, Direito, 83.54, 177.8, USA
Direito, None, 79.45, 172.72, USA
Direito, Direito, 70.37, 177.8, USA
None, None, 76.27, 167.64, USA
None, None, 86.26, 180.34, USA
None, None, None, None, USA
None, None, 89.44, 177.8, USA
Direito, Direito, 68.1, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
None, Direito, 70.82, 167.64, USA
Direito, Direito, 77.18, 177.8, USA
Direito, Direito, None, None, USA
None, None, 79.9, 180.34, USA
None, None, 70.37, 167.64, USA
None, None, 86.26, 185.42, USA
None, Esquerdo, 76.27, 177.8, USA
Direito, Direito, 74.91, 182.88, USA
Direito, Direito, 82.17, 177.8, USA
Esquerdo, None, None, None, USA
None, Direito, 74.91, None, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 81.72, 185.42, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, None, None, None, USA
None, None, None, None, USA
None, None, None, 177.8, USA
Direito, Direito, 79.45, 177.8, USA
Esquerdo, None, 61.29, 175.26, USA
None, None, 77.63, 170.18, USA
Direito, Esquerdo, 76.27, 177.8, CAN
None, None, None, None, USA
Direito, Direito, 83.99, 185.42, USA
Direito, Direito, 83.99, 177.8, USA
None, None, None, None, United Kingdom
None, None, None, None, USA
Direito, Direito, 74.91, 175.26, USA
Direito, None, 72.64, 180.34, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 68.1, 162.56, USA
None, Direito, 69.46, 170.18, USA
Direito, Esquerdo, 76.27, 177.8, United Kingdom
None, None, 81.72, 180.34, USA
None, Esquerdo, None, 175.26, USA
None, Direito, 86.26, 180.34, CAN
Direito, Direito, 73.09, 177.8, USA
None, None, 74.46, 177.8, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, None, 72.64, 177.8, CAN
Direito, None, 74.0, 172.72, USA
Direito, Direito, 69.46, 175.26, USA
Direito, Direito, 72.64, 175.26, Ireland
Direito, Direito, 70.37, 180.34, USA
None, None, None, None, USA
Direito, None, 80.81, None, USA
None, Direito, 69.92, 170.18, USA
None, None, None, None, USA
Direito, Direito, 77.18, 167.64, USA
Direito, Direito, 72.64, 172.72, CAN
None, None, 74.91, 177.8, USA
Esquerdo, Esquerdo, 75.36, 172.72, USA
Esquerdo, None, 81.72, 170.18, USA
None, None, None, None, USA
None, None, None, None, USA
None, None, 74.0, 175.26, USA
None, None, None, None, USA
None, Direito, 72.64, 175.26, USA
Direito, Direito, 83.99, 172.72, Germany
Direito, Esquerdo, 77.18, 182.88, CAN
None, None, 68.1, 167.64, USA
None, Direito, 79.45, 180.34, USA
None, None, 80.81, 180.34, USA
Direito, Esquerdo, 77.18, 175.26, USA
Direito, Esquerdo, 81.72, 177.8, USA
Esquerdo, Direito, 79.9, 177.8, Ireland
Direito, Direito, 67.19, 167.64, USA
Esquerdo, Esquerdo, 69.01, 172.72, USA
Direito, None, 83.99, 177.8, USA
Esquerdo, None, None, None, USA
Direito, Direito, 81.72, 177.8, USA
Direito, Direito, 72.64, 167.64, USA
Direito, Direito, 88.08, 177.8, USA
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 88.53, 185.42, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 63.56, 170.18, USA
None, None, None, None, USA
None, None, None, None, None
Direito, Direito, 75.82, 185.42, CAN
None, None, None, None, USA
Esquerdo, None, 79.45, None, USA
None, None, None, None, Ireland
Esquerdo, None, 72.64, None, USA
Direito, Direito, 77.18, 172.72, USA
Direito, Direito, None, None, USA
None, None, None, None, USA
Direito, Direito, 113.5, 180.34, USA
None, Direito, None, None, USA
Direito, Direito, 86.26, 175.26, USA
None, None, None, None, USA
Direito, Esquerdo, 72.64, 177.8, USA
None, None, 73.55, 180.34, USA
Direito, Direito, 72.64, 177.8, USA
None, None, 72.64, None, USA
Direito, Direito, 80.81, 180.34, USA
None, None, None, None, USA
Direito, Direito, 72.64, 180.34, USA
Direito, None, 77.18, 182.88, USA
None, None, 77.18, 185.42, USA
None, None, None, None, USA
Direito, None, 88.98, 175.26, USA
Direito, Direito, None, None, USA
Esquerdo, Esquerdo, 74.91, 172.72, USA
Direito, Direito, 76.27, 185.42, USA
Direito, None, 90.8, 182.88, USA
None, None, 70.37, 172.72, USA
Direito, Direito, 87.17, 185.42, USA
Direito, None, 83.99, 177.8, Ireland
Esquerdo, None, 79.45, 170.18, USA
Direito, None, None, None, USA
Direito, None, None, None, USA
Direito, Direito, 77.18, 172.72, USA
None, None, 77.18, 180.34, USA
Esquerdo, Direito, 80.36, 182.88, USA
None, None, 68.1, 177.8, USA
None, None, None, None, USA
Esquerdo, Esquerdo, 83.99, 182.88, CAN
Direito, None, None, None, USA
Direito, Direito, None, None, USA
Direito, Direito, 68.1, 172.72, USA
Esquerdo, Esquerdo, None, None, USA
Direito, Direito, 81.72, 180.34, CAN
None, None, 70.37, 172.72, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 79.45, 180.34, USA
Direito, Esquerdo, 68.1, 175.26, USA
None, None, 74.46, 175.26, USA
Esquerdo, Esquerdo, 72.64, 172.72, USA
Direito, Direito, None, None, USA
None, None, None, None, USA
Direito, None, 77.18, 182.88, USA
None, None, 81.72, 180.34, USA
None, None, None, None, USA
None, None, 76.73, 172.72, CAN
None, None, 81.72, 170.18, USA
Direito, Esquerdo, 68.1, 167.64, CAN
Direito, Direito, 81.72, 185.42, USA
Direito, Direito, 67.19, 177.8, USA
None, None, None, None, USA
None, Direito, 81.72, 180.34, USA
None, Direito, None, None, USA
Direito, Direito, 92.62, 177.8, USA
None, None, None, None, USA
Direito, Esquerdo, 65.83, 170.18, USA
None, None, 83.54, 185.42, USA
Direito, Direito, None, None, USA
Direito, Direito, 61.29, 172.72, USA
Direito, Direito, 79.45, 182.88, USA
Direito, Direito, 79.0, 172.72, USA
None, None, None, None, USA
None, None, None, None, None
None, Esquerdo, 77.18, 180.34, CAN
None, None, None, None, USA
None, Direito, 77.18, 177.8, CAN
None, None, 74.91, 180.34, USA
Direito, Direito, 74.91, 180.34, USA
None, None, 73.09, 170.18, USA
Esquerdo, Esquerdo, 95.34, 187.96, USA
None, None, 72.64, 177.8, USA
None, None, None, None, USA
Direito, Direito, 80.81, 185.42, USA
None, None, None, None, None
None, None, None, None, USA
Direito, Direito, 65.83, 180.34, USA
None, None, None, None, CAN
None, None, None, None, USA
Direito, Direito, 74.91, 167.64, USA
None, None, 72.64, 172.72, USA
None, None, 77.18, 175.26, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, None, 84.9, 180.34, USA
Direito, Direito, 81.72, 172.72, USA
Direito, Direito, 68.1, 170.18, USA
None, None, 70.37, None, USA
Direito, Direito, 101.24, 187.96, USA
Direito, None, 69.92, 172.72, CAN
None, Direito, 65.38, 172.72, USA
None, None, 72.64, 172.72, USA
Esquerdo, Esquerdo, 92.62, 172.72, USA
None, None, None, None, None
None, None, 72.64, 180.34, USA
None, None, None, None, None
None, None, None, None, USA
Direito, Direito, 99.88, 187.96, USA
None, None, None, None, USA
Direito, Direito, 71.73, 170.18, Australia
None, None, 67.19, 175.26, USA
None, None, None, None, USA
Direito, Direito, 79.45, 180.34, USA
Direito, Direito, 76.27, 180.34, USA
Direito, Direito, 74.91, 180.34, USA
None, Direito, 77.18, 180.34, USA
None, Direito, 68.1, 170.18, USA
Direito, None, 74.91, 182.88, USA
Direito, None, 74.91, 180.34, CAN
Direito, Direito, 79.45, 177.8, USA
Direito, Direito, 72.64, 172.72, USA
Esquerdo, None, 74.91, 170.18, USA
Direito, Direito, 72.19, None, USA
Direito, Direito, 76.27, 172.72, USA
None, Direito, 78.09, 177.8, USA
Direito, Direito, 83.99, 180.34, USA
Direito, Direito, 65.83, 167.64, USA
Direito, Direito, 81.72, 167.64, USA
Direito, Direito, 79.45, 177.8, USA
None, Esquerdo, 79.45, None, USA
None, None, None, None, USA
None, None, None, None, USA
Direito, Direito, 81.72, 177.8, USA
Direito, Direito, 72.64, 170.18, USA
None, Direito, 74.91, 175.26, USA
None, None, 74.46, 177.8, USA
Direito, Direito, 71.73, 172.72, USA
Direito, Direito, 80.36, 177.8, USA
Esquerdo, Esquerdo, 66.74, 170.18, USA
Direito, Direito, 87.17, 182.88, USA
Direito, Direito, 79.45, 172.72, USA
None, Esquerdo, 72.64, 172.72, USA
None, None, 76.27, 177.8, USA
None, Direito, 74.46, 167.64, USA
None, None, 72.64, 172.72, USA
Direito, Direito, 81.72, 180.34, USA
Direito, Direito, 74.91, 177.8, USA
Esquerdo, None, None, 182.88, USA
None, Esquerdo, 89.89, 180.34, USA
None, Direito, 72.64, 170.18, CAN
None, None, 77.18, 170.18, USA
Direito, None, 64.01, 175.26, USA
Direito, Direito, 77.18, 172.72, USA
Direito, Direito, 81.72, 182.88, USA
None, Direito, 72.64, 175.26, CAN
